,,,,,,,,,"Normalized abundance",,,,,,"Raw abundance",,,,,,,,
,,,,,,,,,"compmix1",,,"compmix2",,,"compmix1",,,"compmix2",,,"Tags",,
"Accession","Peptide count","Unique peptides","Confidence score","Anova (p)","Max fold change","Highest mean condition","Lowest mean condition","Description","20160711_02_compmix1_1","20160711_04_compmix1_2","20160711_06_compmix1_3","20160711_03_compmix2_1","20160711_05_compmix2_2","20160711_07_compmix2_3","20160711_02_compmix1_1","20160711_04_compmix1_2","20160711_06_compmix1_3","20160711_03_compmix2_1","20160711_05_compmix2_2","20160711_07_compmix2_3","SingleHitProtein","pVsmaller005","FCabove2"
"GEMI5_HUMAN","10","10","9.372","0.996692476191508","1.00004793737353","compmix2","compmix1","Gem-associated protein 5 OS=Homo sapiens GN=GEMIN5 PE=1 SV=3","372644.247671975","363394.451314984","367722.40690193","363380.858888275","372813.249787308","367619.908621731","511389.990897682","505001.16777531","547184.393731153","363380.858888275","381646.285393778","366208.693300902",,,
"PSB5_HUMAN","9","9","9.466","0.990538058289325","1.0001961715861","compmix2","compmix1","Proteasome subunit beta type-5 OS=Homo sapiens GN=PSMB5 PE=1 SV=3","891328.434186466","945562.945383262","945834.315023853","887770.038172933","907864.951528694","987636.59660515","1223194.62246657","1314027.74559623","1407436.0618837","887770.038172933","929374.925885278","983845.267942438",,,
"RL23_HUMAN","6","5","5.961","0.994704965626597","1.00036719358705","compmix2","compmix1","60S ribosomal protein L23 OS=Homo sapiens GN=RPL23 PE=1 SV=1","4254984.98476755","4254631.15684304","4467868.92202412","4249805.27776467","4510670.04782079","4221774.98734071","5839233.38740348","5912566.06941581","6648352.40246873","4249805.27776467","4617541.00577138","4205568.48327632",,,
"REV_sp|Q92688|AN32B_HUMAN","1","1","0.5","0.974106715113405","1.00049969349983","compmix2","compmix1","Acidic leucine-rich nuclear phosphoprotein 32 family member B OS=Homo sapiens GN=ANP32B PE=1 SV=1","11796.2043335709","13653.2180275682","11680.0202223617","10768.3555327937","12201.8708379566","14177.7695538618","16188.2569352906","18973.5727192941","17380.2973769969","10768.3555327937","12490.9688237141","14123.3440857619","x",,
"J3QQJ0_HUMAN;S30BP_HUMAN","1","1","0.995","0.973309421385682","1.00054463643877","compmix1","compmix2","SAP30-binding protein (Fragment) OS=Homo sapiens GN=SAP30BP PE=1 SV=1 [J3QQJ0_HUMAN,S30BP_HUMAN]","74062.5440325876","60393.0969306912","59157.4630535572","63921.3597424007","69460.3349289605","60126.0179939733","101638.074263322","83926.9404505322","88028.4691606155","63921.3597424007","71106.0532933559","59895.206887764","x",,
"A6NLM8_HUMAN;SSRD_HUMAN","3","3","2.975","0.956297510012664","1.00060767548471","compmix2","compmix1","Translocon-associated protein subunit delta OS=Homo sapiens GN=SSR4 PE=1 SV=1 [A6NLM8_HUMAN,SSRD_HUMAN]","119394.448582877","98839.6222326216","97102.9363073874","106313.310531344","99412.4014538446","109802.917706347","163848.29862657","137355.2195674","144492.721508382","106313.310531344","101767.771822971","109381.407455937",,,
"H0YDU9_HUMAN","2","1","1.468","0.988231446057914","1.00072597361927","compmix1","compmix2","Clathrin interactor 1 (Fragment) OS=Homo sapiens GN=CLINT1 PE=1 SV=1","9623.95761696701","10958.9267352968","11161.5375664584","10558.7646535287","9668.55559823301","11494.0727724584","13207.2227838942","15229.3761747395","16608.7762175419","10558.7646535287","9897.63194117698","11449.9494504761",,,
"EIF3M_HUMAN","12","12","12.462","0.98227878709703","1.00075738137708","compmix1","compmix2","Eukaryotic translation initiation factor 3 subunit M OS=Homo sapiens GN=EIF3M PE=1 SV=1","902247.237629127","979393.628685494","904587.502797938","957496.293602339","954926.882057671","871696.553018473","1238178.79793162","1361041.49198791","1346059.29637373","957496.293602339","977551.891108727","868350.293738485",,,
"H0Y503_HUMAN","4","1","3.145","0.9867718454398","1.00075991555496","compmix1","compmix2","Basic leucine zipper and W2 domain-containing protein 1 (Fragment) OS=Homo sapiens GN=BZW1 PE=1 SV=1","58398.7592549026","66358.6203975724","65061.7475673428","62662.8751474002","62652.5834847392","64359.5316122054","80142.22988916","92217.0954219816","96814.2605115179","62662.8751474002","64137.0063186213","64112.4689398026",,,
"FWCH2_HUMAN;I3L1Y9_HUMAN","2","2","1.994","0.965150077357702","1.0009217041538","compmix2","compmix1","FLYWCH family member 2 OS=Homo sapiens GN=FLYWCH2 PE=1 SV=1 [FWCH2_HUMAN,I3L1Y9_HUMAN]","115329.045449719","116207.878818768","115279.172560377","110651.417038415","106556.807767718","129927.533859783","158269.233649049","161491.498551535","171539.625987768","110651.417038415","109081.450005249","129428.769451",,,
"FBRL_HUMAN","11","10","11.293","0.873328261764636","1.00101683072894","compmix2","compmix1","rRNA 2'-O-methyltransferase fibrillarin OS=Homo sapiens GN=FBL PE=1 SV=2","926998.575535975","910931.343793709","913653.768127306","923358.654713953","915263.745734291","915759.181855404","1272145.74239933","1265900.98091568","1359550.23085187","923358.654713953","936949.019152001","912243.775433403",,,
"M9NEU8_DROME;M9PBE3_DROME;M9PD79_DROME;Q2PDT3_DROME;Q9VIS7_DROME","1","1","0.698","0.972451936485863","1.00106134795869","compmix2","compmix1","Uncharacterized protein, isoform D OS=Drosophila melanogaster GN=CG10462 PE=1 SV=1 [M9NEU8_DROME,M9PBE3_DROME,M9PD79_DROME,Q2PDT3_DROME,Q9VIS7_DROME]","329919.418445637","322014.29580973","344639.617165189","346136.370002297","326436.852565097","325057.819924153","452757.527990606","447496.088164823","512836.358173204","346136.370002297","334171.095764921","323809.991488114","x",,
"NOP2_HUMAN","14","14","13.756","0.936290942078834","1.00106604222775","compmix2","compmix1","Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase OS=Homo sapiens GN=NOP2 PE=1 SV=2","539028.589495789","565389.565428017","544279.366874197","551204.907987507","552500.579319904","546749.615669611","739723.817549679","785709.274745192","809907.609091825","551204.907987507","565590.932982261","544650.759170834",,,
"WDR75_HUMAN","3","3","2.99","0.944572270655623","1.00109922792976","compmix1","compmix2","WD repeat-containing protein 75 OS=Homo sapiens GN=WDR75 PE=1 SV=1","125034.974014531","96557.2679395894","97242.4905832319","107076.130292136","105572.433313549","105836.081714331","171588.947428133","134183.482687303","144700.383376104","107076.130292136","108073.752842971","105429.799310933",,,
"A0A0A0MRM9_HUMAN","17","15","18.505","0.887082559723737","1.00113399477844","compmix1","compmix2","Nucleolar and coiled-body phosphoprotein 1 (Fragment) OS=Homo sapiens GN=NOLC1 PE=1 SV=1","498152.615557686","493771.808867995","487346.481746605","495600.334908499","489488.540467508","492506.445417857","683628.589807049","686183.675041112","725189.393266008","495600.334908499","501085.954747648","490615.817013137",,,
"REV_tr|V9GYP0|V9GYP0_HUMAN","1","1","0.854","0.928598655588561","1.00125820362921","compmix1","compmix2","25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial (Fragment) OS=Homo sapiens GN=CYP27B1 PE=1 SV=1","1613162.86411771","1600844.05326981","1562151.03974791","1565548.13718679","1613041.11376406","1591566.87843071","2213787.94265949","2224657.29292791","2324537.89477376","1565548.13718679","1651258.77260721","1585457.18874772","x",,
"SAR1A_HUMAN","5","3","4.96","0.949480267268746","1.00131036839813","compmix2","compmix1","GTP-binding protein SAR1a OS=Homo sapiens GN=SAR1A PE=1 SV=1","450092.991486951","422955.37199928","490953.614125185","453203.947735716","446670.284762751","465915.090199392","617675.040625435","587771.651448079","730556.938203805","453203.947735716","457253.209409106","464126.540400879",,,
"EPIPL_HUMAN","42","35","44.886","0.976275208997534","1.00132942781409","compmix2","compmix1","Epiplakin OS=Homo sapiens GN=EPPK1 PE=1 SV=2","768394.495458598","840405.380490991","857611.631417485","849536.011130242","848204.881510424","771949.530785288","1054488.98377817","1167892.62196174","1276157.48125764","849536.011130242","868301.33442415","768986.179293157",,,
"LIS1_HUMAN","11","10","11.575","0.960231392314305","1.00143057354811","compmix1","compmix2","Platelet-activating factor acetylhydrolase IB subunit alpha OS=Homo sapiens GN=PAFAH1B1 PE=1 SV=2","731388.47717257","781253.087605312","759067.023432114","737344.688586331","745859.139080738","785259.556830206","1003704.60303788","1085689.99923109","1129519.49955224","737344.688586331","763530.722203576","782245.110954352",,,
"REV_tr|Q9VRC3|Q9VRC3_DROME","1","1","0.881","0.982322909722112","1.00144154341508","compmix1","compmix2","CG1314 OS=Drosophila melanogaster GN=CG1314-RA PE=2 SV=1","455284.115096034","460630.520762107","526744.728314984","512161.536881205","435331.521876854","493089.642907596","624798.962896562","640127.965784988","783815.425452125","512161.536881205","445645.798087668","491196.775730673","x",,
